id,title,release_date,runtime,production_countries,overview,cast,crew,,,,,,,
3910,Dave Chappelle's Block Party,12/09/2005,100,United States of America,"The American comedian/actor delivers a story about the alternative Hip Hop scene. A small town Ohio man’s moves to Brooklyn, New York, to throw an unprecedented block party. Filmed with inspiration from the 1973 documentary Wattstax.","Dave Chappelle,Erykah Badu,Common,Yasiin Bey,Bilal","Director:  Michel Gondry , Screenwriter:   , Producer:  Michel Gondry,Producer:  Dave Chappelle,Producer:  Mustafa Abuelhija,Producer:  Julie Fong,Producer:  Bob Yari",,,,,,,
3911,Slow West,16/04/2015,84,"New Zealand,United Kingdom","In the Old West, a 17-year-old Scottish boy teams up with a mysterious gunman to find the woman with whom he is infatuated.","Michael Fassbender,Kodi Smit-McPhee,Ben Mendelsohn,Caren Pistorius,Rory McCann","Director:  John Maclean , Screenwriter:   , Producer:  Emile Sherman,Producer:  Iain Canning,Producer:  Rachel Gardner,Producer:  Conor McCaughan",,,,,,,
3912,Krush Groove,25/10/1985,97,United States of America,"Russell Walker is a young, successful manager of rap performers, handling acts for the Krush Groove label, including Run-DMC and The Fat Boys. When Run-D.M.C. has a hit record and Russell needs more money to press more copies, he borrows it from a street hustler and soon regrets his decision.","Blair Underwood,Joseph Simmons,Darryl McDaniels,Sheila E.,Kurtis Blow","Director:  Michael Schultz , Screenwriter:   , Producer:  ",,,,,,,
3913,Next Day Air,06/02/2009,84,United States of America,"Two inept criminals are mistakenly delivered a package of cocaine and think they've hit the jackpot, triggering a series of events that changes ten people's lives forever.","Donald Faison,Mike Epps,Wood Harris,Omari Hardwick,Yasiin Bey","Director:  Benny Boom , Screenwriter:   , Producer:  ",,,,,,,
3914,Elmer Gantry,19/06/1960,146,United States of America,An ex-football player becomes a popular evangelist in the 1920s Midwest.,"Burt Lancaster,Jean Simmons,Arthur Kennedy,Dean Jagger,Shirley Jones","Director:  Richard Brooks , Screenwriter:  Richard Brooks , Producer:  Bernard Smith",,,,,,,
3915,Judgment at Nuremberg,01/12/1961,186,"Germany,United States of America","In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.","Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich,Maximilian Schell","Director:  Stanley Kramer , Screenwriter:  Abby Mann,Screenwriter:  Montgomery Clift , Producer:  Stanley Kramer,Producer:  Philip Langner",,,,,,,
3916,Trippin',12/05/1999,94,United States of America,"Greg is near the end of his senior year in high school, wanting to go to the prom, eyeing Cinny (the school's beauty with brains) from afar, and regularly trippin', daydreaming about being a big success as a poet, a student, a lover. His mom wants him to apply to colleges, but Greg hasn't a clue. One of his teachers, Mr. Shapic, tries to inspire him, too. He finally figures out he can get close to Cinny if he asks her for help with college applications. But friendship isn't enough, he wants romance and a prom date. So, he tells a few lies and, for awhile, it seems to be working. Then, things fall apart and Greg has to figure out how to put the trippin aside and get real.","Deon Richmond,Donald Faison,Guy Torry,Maia Campbell,Aloma Wright","Director:  David Raynr , Screenwriter:   , Producer:  ",,,,,,,
3917,Red River,26/08/1948,133,United States of America,"Dunson is driving his cattle to Red River when his adopted son, Matthew, turns against him.","John Wayne,Montgomery Clift,Joanne Dru,Walter Brennan,Coleen Gray","Director:  Howard Hawks,Director:  Arthur Rosson , Screenwriter:  Borden Chase,Screenwriter:  Charles Schnee , Producer:  Howard Hawks",,,,,,,
3918,Phat Girlz,01/01/2006,99,United States of America,Two plus-sized ladies meet the men of their dreams in the most unexpected of ways.,"Mo'Nique,Jimmy Jean-Louis,Godfrey,Joyful Drake,Brendan Walsh","Director:  Nnegest Likk\u00e9 , Screenwriter:   , Producer:  ",,,,,,,
3919,Before Midnight,05/04/2013,108,"Greece,United States of America",We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,"Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Jennifer Prior,Charlotte Prior","Director:  Richard Linklater , Screenwriter:   , Producer:  Richard Linklater,Producer:  Sara Woodhatch,Producer:  Christos V. Konstantakopoulos",,,,,,,
3920,Teen Wolf Too,20/11/1987,95,United States of America,"Although awkward college student Todd Howard is particularly adept at science, he's paying for school with an athletic scholarship that he will lose should he not fare well in an upcoming boxing tournament. Luckily for Todd, he has inherited the same family curse that once turned his cousin into a werewolf. As he transforms into the hairy, fanged, howling monster, he finds both his physical agility and his popularity skyrocketing -- but at what cost?","Jason Bateman,Kim Darby,John Astin,Mark Holton,Estee Chandler","Director:  Christopher Leitch , Screenwriter:  Tim Kring , Producer:  Kent Bateman",,,,,,,
3921,Phantasm II,08/07/1988,97,United States of America,"Mike, after his release from a psychiatric hospital, teams up with his old pal Reggie to hunt down the Tall Man, who is at it again. A mysterious, beautiful girl has also become part of Mike's dreams, and they must find her before the Tall Man does.","James Le Gros,Reggie Bannister,Angus Scrimm,Paula Irvine,Samantha Phillips","Director:  Don Coscarelli , Screenwriter:   , Producer:  Roberto A. Quezada",,,,,,,
3922,Woman Thou Art Loosed,30/09/2004,94,United States of America,"An adaptation of Bishop T.D. Jakes' self-help novel, chronciling a woman's struggle to come to terms with her legacy of abuse, addiction and poverty.","Kimberly Elise,Loretta Devine,Debbi Morgan,Michael Boatman,Louisa Abernathy","Director:  Michael Schultz , Screenwriter:  Stan Foster , Producer:  ",,,,,,,
3923,Real Women Have Curves,01/01/2002,86,,"There's more to Ana Garcia than meets the eye. Should she leave home, go to college and experience life? Or stay home, get married, and keep working in her sister’s struggling garment factory? It may seem like an east decision, but for 18 year-old Ana, every choice she makes this summer will change her life. At home, she is bound to a mother who wants her to become someone she's not. But at school, she's encouraged by a teacher who sees her potential and adored by a boyfriend who loves her for who she is. Right now, Ana may be making clothes for less shapely women. But she's about to discover that real women take chances, have flaws, embrace life, and above all, have curves!","America Ferrera,Lupe Ontiveros,Ingrid Oliu,George Lopez,Brian Sites","Director:  Patricia Cardoso , Screenwriter:   , Producer:  ",,,,,,,
3924,Water,08/09/2005,115,Canada,"The film examines the plight of a group of widows forced into poverty at a temple in the holy city of Varanasi. It focuses on a relationship between one of the widows, who wants to escape the social restrictions imposed on widows, and a man who is from the highest caste and a follower of Mahatma Gandhi.","Lisa Ray,Sarala,John Abraham,Seema Biswas,Waheeda Rehman","Director:  Deepa Mehta , Screenwriter:  Deepa Mehta , Producer:  ",,,,,,,
3925,East Is East,14/05/1999,97,United Kingdom,"In 1971 Salford fish-and-chip shop owner George Khan expects his family to follow his strict Pakistani Muslim ways. But his children, with an English mother and having been born and brought up in Britain, increasingly see themselves as British and start to reject their father's rules on dress, food, religion, and living in general.","Om Puri,Linda Bassett,Ian Aspinall,Jimi Mistry,Archie Panjabi","Director:  Damien O'Donnell , Screenwriter:  Ayub Khan-Din , Producer:  Leslee Udwin",,,,,,,
3926,Whipped,01/09/2000,82,United States of America,"Three to one may sound like fairly good odds, but it depends on the game. When the ""one"" is one very irresistible woman and the ""three"" are three hopelessly smitten guys, the deck is pretty stacked. In the battle of the sexes, the first rule is to never underestimate the power of a woman.","Amanda Peet,Brian Van Holt,Jonathan Abrahams,Zorie Barber,Judah Domke","Director:  Peter M. Cohen , Screenwriter:   , Producer:  ",,,,,,,
3927,Kama Sutra - A Tale of Love,11/09/1996,117,"United Kingdom,India,United States of America,Japan,Germany","Tara and Maya are two inseparable friends in India. Their tastes, habits, and hobbies are the same. Years later, the two have matured, but have maintained their friendship. Tara gets married to the local prince, Raj Singh, who soon succeeds the throne as the sole heir. After the marriage, Raj gets bored of Tara and starts seeking another female to satisfy his sexual needs. He notices Maya and is instantly attracted to her. He has her included as one of his courtesans, and is intimate with her. Watch what happens when Tara finds out and the extent she will go to keep her marriage intact.","Indira Varma,Sarita Choudhury,Ramon Tikaram,Naveen Andrews","Director:  Mira Nair , Screenwriter:   , Producer:  ",,,,,,,
3928,Please Give,22/01/2010,90,United States of America,"In New York City, a husband and wife butt heads with the granddaughters of the elderly woman who lives in the apartment the couple owns.","Rebecca Hall,Catherine Keener,Amanda Peet,Oliver Platt,Sarah Steele","Director:  Nicole Holofcener , Screenwriter:   , Producer:  Anthony Bregman",,,,,,,
3929,Willy Wonka & the Chocolate Factory,29/06/1971,100,United States of America,Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?,"Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear,Denise Nickerson","Director:  Mel Stuart , Screenwriter:  Roald Dahl , Producer:  Stan Margulies,Producer:  David L. Wolper",,,,,,,
3930,Warlock: The Armageddon,01/05/1993,98,United States of America,"Every six hundred years, a great evil has the opportunity to escape and unleash Armageddon. A group of five stones has the power to either free the evil, or banish it for another six hundred years. An order of Druids battles with a Warlock determined to unleash his father upon the world.","Julian Sands,Chris Young,Paula Marshall,Joanna Pacula,Steve Kahan","Director:  Anthony Hickox , Screenwriter:   , Producer:  ",,,,,,,
3931,8 Heads in a Duffel Bag,18/04/1997,95,"United Kingdom,United States of America","Mafia hitman Tommy Spinelli (Joe Pesci) is flying to San Diego with a bag that holds eight severed heads, which he's bringing to his superiors to prove that some troublesome rival mobsters are permanently out of the picture. When his bag gets accidentally switched at the airport, Tommy must track down his duffel bag and the 8 heads it contains.","Joe Pesci,Kristy Swanson,George Hamilton,Dyan Cannon,Andy Comeau","Director:  Tom Schulman , Screenwriter:   , Producer:  ",,,,,,,
3932,Days of Heaven,13/09/1978,94,United States of America,"In 1910, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer. A love triangle, a swarm of locusts, a hellish fire—Malick captures it all with dreamlike authenticity, creating at once a timeless American idyll and a gritty evocation of turn-of-the-century labor.","Richard Gere,Brooke Adams,Linda Manz,Sam Shepard,Robert J. Wilke","Director:  Terrence Malick , Screenwriter:   , Producer:  Bert Schneider,Producer:  Harold Schneider",,,,,,,
3933,Thirteen Conversations About One Thing,02/09/2001,104,United States of America,"The lives of a lawyer, an actuary, a housecleaner, a professor, and the people around them intersect as they ponder order and happiness in the face of life's cold unpredictability.","John Turturro,Clea DuVall,Matthew McConaughey,Amy Irving,Alan Arkin","Director:  Jill Sprecher , Screenwriter:   , Producer:  ",,,,,,,
3934,Jawbreaker,30/01/1999,87,United States of America,"3 of Reagan High School's most popular girls pretend to kidnap their friend by shoving a jawbreaker into the victim's mouth to keep her from screaming. Their plan goes awry when the girl swallows the jawbreaker, choking to death. Now the leader of the pack will do anything to keep the accident a secret.","Rose McGowan,Julie Benz,Rebecca Gayheart,Carol Kane,Pam Grier","Director:  Darren Stein , Screenwriter:   , Producer:  Lisa Tornell,Producer:  Stacy Kramer",,,,,,,
3935,Basquiat,09/08/1996,108,United States of America,"Director Julian Schnabel illustrates the portrait of his friend, the first Afro-American Pop Art artist Jean Michel Basquiat who unfortunately died at a young age and just as he was beginning to make a name for himself in the art world. Along side the biography of Basquiat are the artists and the art scene from the early 1980’s New York.","Jeffrey Wright,David Bowie,Dennis Hopper,Gary Oldman,Benicio del Toro","Director:  Julian Schnabel , Screenwriter:   , Producer:  Jon Kilik,Producer:  Sigurj\u00f3n Sighvatsson,Producer:  Randy Ostrow",,,,,,,
3936,Frances Ha,17/05/2013,86,"Brazil,United States of America","An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks.","Greta Gerwig,Mickey Sumner,Adam Driver,Michael Zegen,Michael Esper","Director:  Noah Baumbach , Screenwriter:   , Producer:  Scott Rudin,Producer:  Noah Baumbach,Producer:  Lila Yacoub,Producer:  Rodrigo Teixeira",,,,,,,
3937,Tsotsi,18/08/2005,94,South Africa,"The South African multi-award winning film about a young South African boy from the ghetto named Tsotsi, meaning Gangster. Tsotsi, who left home as a child to get away from helpless parents, finds a baby in the back seat of a car that he has just stolen. He decides that it his responsibility to take care of the baby and in the process learns that maybe the gangster life isn’t the best way.","Presley Chweneyagae,Jerry Mofokeng,Terry Pheto,Kenneth Nkosi,Zenzo Ngqobe","Director:  Gavin Hood , Screenwriter:   , Producer:  Peter Fudakowski",,,,,,,
3938,Happiness,16/10/1998,139,United States of America,"The lives of many individuals connected by the desire for happiness, often from sources usually considered dark or evil.","Jane Adams,Jon Lovitz,Philip Seymour Hoffman,Dylan Baker,Evan Silverberg","Director:  Todd Solondz , Screenwriter:  Todd Solondz , Producer:  James Schamus,Producer:  David Linde",,,,,,,
3939,DysFunktional Family,04/04/2003,89,United States of America,"Between sets from his hilarious live stand-up routine, in which he riffs on everything from Michael Jackson to terrorism, comedian Eddie Griffin tours his hometown of Kansas City and introduces viewers to his eccentric clan in this edgy mockumentary. Griffin's uproarious family members include oddballs such as Uncle Buckey, a former pimp, and Uncle Curtis, who possesses an extensive porn collection ... much of which he filmed himself!","Eddie Griffin,Joe Howard,Matthew Brent,Robert Noble","Director:  George Gallo , Screenwriter:   , Producer:  David Permut",,,,,,,
3940,Tusk,19/09/2014,102,United States of America,"When his best friend and podcast co-host goes missing in the backwoods of Canada, a young guy joins forces with his friend's girlfriend to search for him.","Michael Parks,Justin Long,Haley Joel Osment,G\u00e9nesis Rodr\u00edguez,Ralph Garman","Director:  Kevin Smith , Screenwriter:   , Producer:  Shannon McIntosh,Producer:  Sam Englebardt,Producer:  David S. Greathouse,Producer:  William D. Johnson",,,,,,,
3941,Oldboy,01/01/2003,120,South Korea,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.","Choi Min-sik,Yoo Ji-tae,Kang Hye-jung,Kim Byeong-ok,Oh Dal-su","Director:  Park Chan-wook , Screenwriter:  Park Chan-wook,Screenwriter:  Hwang Jo-yun,Screenwriter:  Lim Chun-hyeong,Screenwriter:  Lim Joon-hyung , Producer:  Seung-yong Lim",,,,,,,
3942,Letters to God,09/04/2010,110,United States of America,"A young boy fighting cancer writes letters to God, touching lives in his neighborhood and inspiring hope among everyone he comes in contact. An unsuspecting substitute postman, with a troubled life of his own, becomes entangled in the boy's journey and his family by reading the letters. They inspire him to seek a better life for himself and his own son he's lost through his alcohol addiction.","Robyn Lively,Jeffrey Johnson,Bailee Madison,Maree Cheatham,Tanner Maguire","Director:  David Nixon,Director:  Patrick Doughtie , Screenwriter:   , Producer:  ",,,,,,,
3943,Hobo with a Shotgun,06/05/2011,86,"United States of America,Canada","A vigilante homeless man pulls into a new city and finds himself trapped in urban chaos, a city where crime rules and where the city's crime boss reigns. Seeing an urban landscape filled with armed robbers, corrupt cops, abused prostitutes and even a pedophile Santa, the Hobo goes about bringing justice to the city the best way he knows how - with a 20-gauge shotgun. Mayhem ensues when he tries to make things better for the future generation. Street justice will indeed prevail.","Rutger Hauer,Gregory Smith,Robb Wells,Brian Downey,Molly Dunsworth","Director:  Jason Eisener , Screenwriter:   , Producer:  Niv Fichman,Producer:  Paul Gross,Producer:  Rob Cotterill,Producer:  Frank Siracusa",,,,,,,
3944,Compadres,31/03/2016,101,,"A disgruntled Mexican cop is forced to work with a teenage hacker to hunt down the criminals who killed his wife, and dismantle their operation.","Omar Chaparro,Joey Morgan,Aislinn Derbez,Eric Roberts,Camila Sodi","Director:  Enrique Begn\u00e9 , Screenwriter:  Gabriel Ripstein,Screenwriter:  Ted Perkins , Producer:  ",,,,,,,
3945,Freeway,23/08/1996,110,United States of America,"Following the arrest of her mother, Ramona, young Vanessa Lutz decides to go in search of her estranged grandmother. On the way, she is given a ride by school counselor Bob Wolverton. During the journey, Lutz begins to realize that Bob is the notorious I-5 Killer and manages to escape by shooting him several times. Wounded but still very much alive, Bob pursues Lutz across the state in this modern retelling of Little Red Riding Hood.","Kiefer Sutherland,Reese Witherspoon,Wolfgang Bodison,Dan Hedaya,Amanda Plummer","Director:  Matthew Bright , Screenwriter:  Matthew Bright , Producer:  Brad Wyman,Producer:  Chris Hanley",,,,,,,
3946,Love's Abiding Joy,06/10/2006,87,United States of America,"The continued Westward journey of settlers Missie and Willie Lahaye. Their roots now firmly planted as they set up homestead in the far West, Missie begins to realize her passion for teaching as Willie cares for the couple's young daughter Kathy while expanding the family ranch with a little help from sons Jeff and Matthew. When the frontier railroad comes to town, the pleasure of a long-promised visit from Missie's father Clark is suddenly offset by the tragic death of young Kathy. As the untimely demise of their beloved daughter begins to drive an emotional wedge between Missie and Willie, the devastated father unexpectedly accepts an offer made by the powerful Samuel Doros to assume the role of town sheriff. Their faith shaken and their once close-knit bond suddenly torn asunder, Missie and Willie desperately attempt to bring their crumbling family back together as son Jeff faces a series of dangers while hopelessly falling for Doros' beautiful daughter Colette.","Erin Cottrell,Logan Bartholomew,William Morgan Sheppard,James Tupper,Irene Bedard","Director:  Michael Landon Jr. , Screenwriter:   , Producer:  ",,,,,,,
3947,Fish Tank,14/05/2009,123,"United Kingdom,Netherlands",Everything changes for 15 year old Mia when her mum brings home a new boyfriend.,"Katie Jarvis,Michael Fassbender,Kierston Wareing,Rebecca Griffiths,Harry Treadaway","Director:  Andrea Arnold , Screenwriter:   , Producer:  Kees Kasander,Producer:  Nick Laws",,,,,,,
3948,Damsels in Distress,06/04/2012,99,United States of America,"A trio of beautiful girls set out to revolutionize life at a grungy American university: the dynamic leader Violet Wister, principled Rose and sexy Heather. They welcome transfer student Lily into their group which seeks to help severely depressed students with a program of good hygiene and musical dance numbers.","Greta Gerwig,Carrie MacLemore,Megalyn Echikunwoke,Analeigh Tipton,Ryan Metcalf","Director:  Whit Stillman , Screenwriter:   , Producer:  ",,,,,,,
3949,Creature,17/05/1998,176,United States of America,"An amphibious shark-like monster terrorizes an abandoned secret military base and the people who live on the island it is located on. A marine biologist, as well as several other people, try to stop it before it is too late...","Craig T. Nelson,Kim Cattrall,Colm Feore,Cress Williams,Michael Reilly Burke","Director:  Stuart Gillard , Screenwriter:   , Producer:  ",,,,,,,
3950,Bachelorette,06/08/2012,87,United States of America,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.,"Kirsten Dunst,Isla Fisher,Lizzy Caplan,Rebel Wilson,Adam Scott","Director:  Leslye Headland , Screenwriter:  Leslye Headland , Producer:  Will Ferrell,Producer:  Adam McKay,Producer:  Jessica Elbaum,Producer:  Claude Dal Farra,Producer:  Brice Dal Farra,Producer:  Lauren Munsch",,,,,,,
3951,Brave New Girl,25/04/2004,120,United States of America,"Holly has everything it takes to be a star; the voice, the dream and the dedication, but she lacks the means to break away from her humble Texas upbringing. Then she gets the chance to attend an art and music school on the East coast and her future suddenly looks bright. But the road to stardom is a bumpy one.","Virginia Madsen,Lindsey Haun,Barbara Mamabolo,John Ralston,Nick Roth","Director:  Bobby Roth , Screenwriter:   , Producer:  John Calvert,Producer:  Amy Talkington,Producer:  Stefani N. Deoul",,,,,,,
3952,Tim and Eric's Billion Dollar Movie,02/03/2012,94,United States of America,"Two guys get a billion dollars to make a movie, only to watch their dream run off course.","Eric Wareheim,Tim Heidecker,John C. Reilly,Zach Galifianakis,Will Ferrell","Director:  Tim Heidecker,Director:  Eric Wareheim , Screenwriter:  Tim Heidecker,Screenwriter:  Eric Wareheim , Producer:  Todd Wagner,Producer:  Eric Wareheim",,,,,,,
3953,Summer Storm,02/09/2004,98,Germany,"Tobi and Achim, the pride of the local crew club, have been the best of friends for years and are convinced that nothing will ever stand in the way of their friendship. They look forward to the upcoming summer camp and the crew competition. Then the gay team from Berlin arrives and Tobi is totally confused. The evening before the races begin, the storm that breaks out is more than meteorlogical...","Robert Stadlober,Kostja Ullmann,Alicja Bachleda-Curu\u015b,J\u00fcrgen Tonkel,Tristano Casanova","Director:  Marco Kreuzpaintner , Screenwriter:   , Producer:  Jakob Claussen,Producer:  Thomas W\u00f6bke,Producer:  Ulrike Putz",,,,,,,
3954,Fort McCoy,01/01/2014,0,,"Unable to serve in World War II because of a heart condition, a barber moves his family adjacent to a Wisconsin army base and prisoner-of-war camp to provide his services. But even in rural America -- far from the frontline -- the war finds victims.","Eric Stoltz,Kate Connor,Lyndsy Fonseca,Andy Hirsch,Camryn Manheim","Director:  Michael Worth,Director:  Kate Connor , Screenwriter:   , Producer:  ",,,,,,,
3955,Chain Letter,01/10/2010,96,United States of America,"Six friends receive a mysterious chain letter via text messaging and in their email accounts from a maniac who's hunting down teenagers who fail to forward his online chain letter. Who knew they should take the threats in the chain letter seriously? Or that chain letters using the teens' favorite technologies to track them can kill? This maniacal game pits friend against friend as they race to beat rules that seem impossible to escape. Break the chain, lose a life. Do you pass it on? Does friendship mean anything?","Nikki Reed,Keith David,Brad Dourif,Betsy Russell,Cherilyn Wilson","Director:  Deon Taylor , Screenwriter:   , Producer:  Michael J. Pagan,Producer:  Deon Taylor",,,,,,,
3956,Just Looking,21/10/1999,97,United States of America,"It's 1955. Lenny is a 14-year old boy who is totally fascinated by sex. He is too scared to ""do it,"" so he dedicates his summer to seeing two other people do it. Easier said than done. Caught in the act of spying, his mother and stepfather ship him off to spend the summer with his aunt and uncle in ""the country"" -- Queens. His plan looks like a bust and his summer seems destined for boredom, until he meets a whole new group of friends -- young teens who have a ""sex club.""","Gretchen Mol,Patti LuPone,Peter Onorati,Ryan Merriman,Richard V. Licata","Director:  Jason Alexander , Screenwriter:  Marshall Karp , Producer:  ",,,,,,,
3957,The Divide,13/03/2011,112,"Canada,Germany,United States of America","Survivors of a nuclear attack are grouped together for days in the basement of their apartment building, where fear and dwindling supplies wear away at their dynamic.","Lauren German,Michael Biehn,Milo Ventimiglia,Courtney B. Vance,Ashton Holmes","Director:  Xavier Gens , Screenwriter:   , Producer:  Darryn Welch,Producer:  Ross M. Dinerstein,Producer:  Juliette Hagopian,Producer:  Nathaniel Rollo",,,,,,,
3958,The Eclipse,24/04/2009,88,,"Michael Farr (Hinds) is a widower living in a misty Irish seaside town who is struggling to adjust to his new role as the sole caretaker of his two children. Still reeling from the death of his wife, he has been plagued by terrifying apparitions. When he volunteers at a local literary festival, he finds himself drawn to Lena Morelle (Hjejle), an empathetic author of supernatural fiction (Hjelje). While Lena tries to help Michael with the mystery of his nightmarish visions, she must contend with problems of her own—she’s being jealously pursued by a self-obsessed novelist (Quinn), her one-time lover. As the three adults’ lives converge, the turbulence of the phantom world will soon have nothing on that of the living.","Ciar\u00e1n Hinds,Aidan Quinn,Iben Hjejle,Jim Norton,Valerie Spelman","Director:  Conor McPherson , Screenwriter:   , Producer:  ",,,,,,,
3959,Demonic,12/02/2015,83,"United Kingdom,United States of America",A police officer and a psychologist investigate the deaths of five people who were killed while trying to summon ghosts.,"Maria Bello,Frank Grillo,Cody Horn,Dustin Milligan,Megan Park","Director:  Will Canon , Screenwriter:  Will Canon,Screenwriter:  Doug Simon,Screenwriter:  Max La Bella , Producer:  James Wan,Producer:  Lee Clay",,,,,,,
3960,My Big Fat Independent Movie,04/03/2005,80,United States of America,"This film is a spoof along the lines of ""Scary Movie"" and ""Not Another Teen Movie."" It includes parodies of some of the indie film world's most renowned movies such as ""Memento,"" ""Pulp Fiction,"" ""Magnolia,"" ""My Big Fat Greek Wedding,"" ""Amelie,"" ""Run Lola Run,"" ""El Mariachi,"" ""The Good Girl,"" ""Pi,"" ""Swingers"" and many others.","Paget Brewster,Neil Barton,Eric Hoffman,Darren Keefe,Ashley Head","Director:  Philip Zlotorynski , Screenwriter:   , Producer:  ",,,,,,,
3961,The Deported,15/06/2010,90,,"An Italian-American actor is deported to Mexico by some crooked INS Agents, and a pack of orphans helps him find his way back to America","Nicholas Turturro,Talia Shire,Paul Rodr\u00edguez,Gary Valentine,Nick Turturro III","Director:  Lance Kawas , Screenwriter:   , Producer:  ",,,,,,,
3962,Tanner Hall,14/09/2009,96,United States of America,"Tanner Hall is a vivid peek into the private world of an all-girls boarding school. In a cozy, but run down New England, the knot of adolescent complexity is unraveled through the coming of age stories of four teen-age girls.","Rooney Mara,Georgia King,Brie Larson,Amy Ferguson,Antonia Steinberg","Director:  Francesca Gregorini,Director:  Tatiana von Furstenberg , Screenwriter:   , Producer:  Francesca Gregorini,Producer:  Julie Snyder",,,,,,,
3963,Open Road,12/04/2013,85,"Brazil,United States of America","Angie, a young Brazilian artist, abandons her old life and embarks on a journey around the country. Running from her past, and searching for her foundation in life, Angie finds not only herself but love in its many forms.","Camilla Belle,Andy Garc\u00eda,Colin Egglesfield,Juliette Lewis,Christiane Torloni","Director:  M\u00e1rcio Garcia , Screenwriter:  Julia Camara , Producer:  ",,,,,,,
3964,They Came Together,27/06/2014,84,United States of America,A small business owner is about to lose her shop to a major corporate development.,"Paul Rudd,Amy Poehler,Bill Hader,Ellie Kemper,Cobie Smulders","Director:  David Wain , Screenwriter:   , Producer:  Michael Showalter",,,,,,,
3965,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,14/01/2013,80,United States of America,"After a stint in a psychiatric hospital, a young woman returns to the house where her father killed the entire cast of The Artist during his exorcism.","Kathryn Fiore,Flip Schultz,Olivia Alexander,Arturo del Puerto,Danny Woodburn","Director:  Craig Moss , Screenwriter:   , Producer:  ",,,,,,,
3966,Never Back Down 2: The Beatdown,13/09/2011,90,United States of America,Four fighters different backgrounds come together to train under an ex MMA rising star and then ultimately have to fight each other and the traitor in heir midst.,"Stacey Asaro,Gralen Bryant Banks,Rus Blackwell,Beau Brasso,Eddie Bravo","Director:  Michael Jai White , Screenwriter:   , Producer:  ",,,,,,,
3967,Point Blank,30/08/1967,92,United States of America,"After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the rather inconsequential sum of money that was stolen from him.","Lee Marvin,Angie Dickinson,Keenan Wynn,Carroll O'Connor,Lloyd Bochner","Director:  John Boorman , Screenwriter:  Alexander Jacobs,Screenwriter:  David Newhouse,Screenwriter:  Rafe Newhouse , Producer:  Irwin Winkler,Producer:  Robert Chartoff,Producer:  Judd Bernard",,,,,,,
3968,Four Single Fathers,15/01/2009,100,"United States of America,Italy","A comedy/drama about four Italian single fathers trying to cope with American ex-wives, children, family, and new relationships, set in New York and Rome.","Alessandro Gassman,Francesco Quinn,Joe Urla,Lenny Venito,Jennifer Esposito","Director:  Paolo Monico , Screenwriter:   , Producer:  Gabriele Muccino,Producer:  Fabrizio Donvito,Producer:  Marco Cohen",,,,,,,
3969,Enter the Dangerous Mind,11/03/2013,88,United States of America,"A psychological thriller set in the world of underground dubstep, Snap is the story of Jim Whitman, a brilliant but painfully introverted musician who develops a crush on a young social worker.","Jake Hoffman,Nikki Reed,Thomas Dekker,Scott Bakula,Jason Priestley","Director:  Youssef Delara,Director:  Victor Teran , Screenwriter:   , Producer:  ",,,,,,,
3970,Something Wicked,04/04/2014,95,United States of America,"A young couple embark upon their honeymoon against the chilling landscapes of the Pacific Northwest. But when tragedy strikes, gruesome secrets from their past collide with sinister forces of the present...","Shantel VanSanten,John Robinson,James Patrick Stuart,Brittany Murphy,Robert Blanche","Director:  Darin Scott , Screenwriter:  Joe Colleran , Producer:  Ime Etuk,Producer:  Joe Colleran",,,,,,,
3971,AWOL-72,07/08/2015,79,United States of America,"An AWOL marine in possession of secret government information, is a wanted man, pursued by Russian special ops, the LAPD, and a dangerous assassin.","Luke Goss,RZA,Bokeem Woodbine,Louis Mandylor,Brooke Newton","Director:  Christian Sesma , Screenwriter:   , Producer:  ",,,,,,,
